locality_code,locality_name,district_code,district_name,municipal_status_code,municipal_status_name
1105,פורייה - נווה עובד,22,כנרת,6.0,מועצה אזורית עמק הירדן
1313,פורייה עילית,22,כנרת,6.0,מועצה אזורית עמק הירדן
767,פורת,41,השרון,18.0,מועצה אזורית לב השרון
749,פטיש,62,באר שבע,42.0,מועצה אזורית מרחבים
1185,פלך,24,עכו,56.0,מועצה אזורית משגב
597,פלמחים,44,רחובות,27.0,מועצה אזורית גן רווה
3723,פני חבר,77,חברון,78.0,מועצה אזורית הר חברון
3659,פסגות,74,ראמאללה,73.0,מועצה אזורית מטה בנימין
535,פסוטה,24,עכו,99.0,מועצה מקומית
2059,"פעמי תש""ז",62,באר שבע,42.0,מועצה אזורית מרחבים
3615,פצאל,75,ירדן-יריחו,75.0,מועצה אזורית ערבות הירדן
536,פקיעין (בוקייעה),24,עכו,99.0,מועצה מקומית
281,פקיעין חדשה,24,עכו,52.0,מועצה אזורית מעלה יוסף
7800,פרדס חנה-כרכור,32,חדרה,99.0,מועצה מקומית
171,פרדסייה,41,השרון,99.0,מועצה מקומית
599,פרוד,21,צפת,2.0,מועצה אזורית מרום הגליל
2053,פרזון,23,יזרעאל,8.0,מועצה אזורית הגלבוע
1231,פרי גן,62,באר שבע,38.0,מועצה אזורית אשכול
7900,פתח תקווה,42,פתח תקווה,0.0,עירייה
839,פתחיה,43,רמלה,30.0,מועצה אזורית גזר
413,צאלים,62,באר שבע,38.0,מועצה אזורית אשכול
1180,צביה,24,עכו,56.0,מועצה אזורית משגב
1213,צבעון,24,עכו,1.0,מועצה אזורית הגליל העליון
465,צובה,11,ירושלים,26.0,מועצה אזורית מטה יהודה
1136,צוחר,62,באר שבע,38.0,מועצה אזורית אשכול
1111,צופייה,44,רחובות,29.0,מועצה אזורית חבל יבנה
3791,צופים,73,טול כרם,72.0,מועצה אזורית שומרון
198,צופית,42,פתח תקווה,20.0,מועצה אזורית דרום השרון
1150,צופר,62,באר שבע,54.0,מועצה אזורית הערבה התיכונה
1102,צוקי ים,41,השרון,16.0,מועצה אזורית עמק חפר
1262,צוקים,62,באר שבע,54.0,מועצה אזורית הערבה התיכונה
1113,צור הדסה,11,ירושלים,26.0,מועצה אזורית מטה יהודה
1345,צור יצחק,42,פתח תקווה,20.0,מועצה אזורית דרום השרון
276,צור משה,41,השרון,18.0,מועצה אזורית לב השרון
1148,צור נתן,42,פתח תקווה,20.0,מועצה אזורית דרום השרון
774,צוריאל,24,עכו,52.0,מועצה אזורית מעלה יוסף
