knesset,n_municipalities,n_common,total_eligible,total_voters,avg_turnout
21,229,229,6014124,3873326,62.71
22,229,229,6061316,3950538,65.48
23,229,229,6118607,4048714,67.41
24,229,229,6232307,3781640,59.12
25,229,229,6426211,4084119,62.82
