seed,silhouette,pop_cv,wcss,k_actual
1,-0.03448224447237123,0.23901285678472906,260.89731161906917,5
2,0.03503726754185757,0.4025673988630222,246.56095457382253,5
3,0.02592636244499973,0.23777087737430355,267.18404391014633,5
4,-0.07150049035209204,0.2693921972849687,301.1857421253866,5
5,-0.008520147136144818,0.20461363175813574,275.1611492213169,5
6,0.012031196843730484,0.43160089421710424,261.9731813476306,5
7,-0.1413930574839104,0.26612997690689705,295.89057344330104,5
8,-0.06531630001846285,0.19961219645537168,304.37705492224563,5
9,-0.03169454800162669,0.5357466853156723,250.13151410089358,5
10,-0.051266047776628444,0.4470911262442983,284.7423072395255,5
11,-0.08381495916062816,0.2531129083112975,329.5636271307328,5
12,-0.03169454800162669,0.5357466853156723,250.13151410089358,5
13,-0.09130987967990868,0.22487818376261892,285.2061018620836,5
14,-0.04945023674109948,0.1915226085802845,263.05495854071285,5
15,-0.04271008881063505,0.17636341672264297,262.9667732693614,5
16,-0.05107722781648349,0.2690097994731625,301.3395417018976,5
17,-0.03169454800162669,0.5357466853156723,250.13151410089358,5
18,-0.07747669277518722,0.1862559901966076,280.1175515869137,5
19,0.01021925929443248,0.31563345610854,271.414580611321,5
20,-0.049104020602450914,0.2567037225859038,287.25176024472967,5
21,-0.010107100533623294,0.3903240810118168,288.7192484710659,5
22,-0.0736013374208433,0.2224213647230243,297.07249758379066,5
23,-0.09276900440201126,0.403272209001412,274.1669108950272,5
24,0.015283374520415404,0.49319062564402427,273.49027140370583,5
25,-0.014072785534156338,0.34518209901418523,283.67866732628465,5
26,-0.045892115277929565,0.4278294216062164,282.07099197557454,5
27,-0.032478129440351264,0.28896894897199416,282.7751367706869,5
28,-0.07788068062217969,0.3268751049951634,280.743565894063,5
29,-0.027666062898463812,0.44902323342447326,288.21998561948055,5
30,-0.06812922111494037,0.22525573867069712,289.7530050694661,5
