municipality,eligible,voters,invalid,valid,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,Unnamed: 46,knesset,אמת_pct,ב_pct,ג_pct,ודעם_pct,ז_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יף_pct,יק_pct,יר_pct,כ_pct,כך_pct,כן_pct,ל_pct,מחל_pct,מרצ_pct,נ_pct,ני_pct,נר_pct,עם_pct,פה_pct,ףז_pct,צי_pct,צכ_pct,צף_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קץ_pct,ר_pct,רנ_pct,רף_pct,רק_pct,שס_pct,ת_pct,Unnamed: 46_pct,turnout_pct
ג'ת,8412,2238,40,2198,4,4,0,1013,0,0,1,0,10,0,0,0,0,1,0,4,0,41,108,0,1,0,966,28,0,0,0,0,0,0,0,0,1,2,1,0,0,10,3,0.0,24,0.18,0.18,0.0,46.09,0.0,0.0,0.05,0.0,0.45,0.0,0.0,0.0,0.0,0.05,0.0,0.18,0.0,1.87,4.91,0.0,0.05,0.0,43.95,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.05,0.0,0.0,0.45,0.14,0.0,26.6
גבעת שמואל,18823,14036,42,13994,656,3368,149,22,0,3,2092,0,80,0,0,0,0,5,2,889,214,2922,393,2,0,0,7,1645,4,1,0,0,0,0,1,1,0,32,2,0,0,694,810,0.0,24,4.69,24.07,1.06,0.16,0.0,0.02,14.95,0.0,0.57,0.0,0.0,0.0,0.0,0.04,0.01,6.35,1.53,20.88,2.81,0.01,0.0,0.0,0.05,11.76,0.03,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.23,0.01,0.0,0.0,4.96,5.79,0.0,74.57
גבעתיים,48689,33737,88,33649,5102,1522,127,118,1,0,603,9,375,1,0,0,3,0,4,4426,1117,5091,3784,1,1,0,4,8999,7,3,1,0,2,2,0,2,2,116,10,3,0,400,1813,0.0,24,15.16,4.52,0.38,0.35,0.0,0.0,1.79,0.03,1.11,0.0,0.0,0.0,0.01,0.0,0.01,13.15,3.32,15.13,11.25,0.0,0.0,0.0,0.01,26.74,0.02,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.34,0.03,0.01,0.0,1.19,5.39,0.0,69.29
גדרה,18140,12685,50,12635,874,940,61,11,0,3,703,0,139,0,0,2,1,1,4,1091,329,3983,483,0,1,1,5,2457,2,3,1,0,1,0,1,1,5,52,6,0,0,577,897,0.0,24,6.92,7.44,0.48,0.09,0.0,0.02,5.56,0.0,1.1,0.0,0.0,0.02,0.01,0.01,0.03,8.63,2.6,31.52,3.82,0.0,0.01,0.01,0.04,19.45,0.02,0.02,0.01,0.0,0.01,0.0,0.01,0.01,0.04,0.41,0.05,0.0,0.0,4.57,7.1,0.0,69.93
גדרות,3627,2781,7,2774,404,124,8,4,1,2,35,0,27,0,1,0,0,0,0,449,64,380,306,0,0,0,0,821,1,0,0,0,0,0,0,0,0,8,1,0,0,13,125,0.0,24,14.56,4.47,0.29,0.14,0.04,0.07,1.26,0.0,0.97,0.0,0.04,0.0,0.0,0.0,0.0,16.19,2.31,13.7,11.03,0.0,0.0,0.0,0.0,29.6,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.04,0.0,0.0,0.47,4.51,0.0,76.67
גולן,12036,8460,34,8426,989,1201,24,7,1,6,1197,2,90,0,0,3,1,1,2,737,287,1175,381,1,0,0,2,1589,6,1,0,0,1,0,0,0,1,99,3,1,0,50,568,0.0,24,11.74,14.25,0.28,0.08,0.01,0.07,14.21,0.02,1.07,0.0,0.0,0.04,0.01,0.01,0.02,8.75,3.41,13.94,4.52,0.01,0.0,0.0,0.02,18.86,0.07,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,1.17,0.04,0.01,0.0,0.59,6.74,0.0,70.29
גזר,19156,14687,37,14650,1733,1123,67,14,0,45,1443,2,123,0,0,0,0,1,1,1506,306,3620,960,0,1,0,0,2523,2,2,0,0,3,1,0,0,1,51,4,0,0,405,713,0.0,24,11.83,7.67,0.46,0.1,0.0,0.31,9.85,0.01,0.84,0.0,0.0,0.0,0.0,0.01,0.01,10.28,2.09,24.71,6.55,0.0,0.01,0.0,0.0,17.22,0.01,0.01,0.0,0.0,0.02,0.01,0.0,0.0,0.01,0.35,0.03,0.0,0.0,2.76,4.87,0.0,76.67
גן יבנה,16828,12100,41,12059,582,1007,42,9,1,2,469,1,122,0,0,0,1,2,9,922,463,4440,232,0,0,0,0,2229,1,0,0,0,0,1,0,1,0,28,7,2,0,693,793,0.0,24,4.83,8.35,0.35,0.07,0.01,0.02,3.89,0.01,1.01,0.0,0.0,0.0,0.01,0.02,0.07,7.65,3.84,36.82,1.92,0.0,0.0,0.0,0.0,18.48,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.23,0.06,0.02,0.0,5.75,6.58,0.0,71.9
גן רוה,4539,3448,3,3445,496,219,7,4,0,1,43,1,32,0,0,1,0,0,1,571,121,506,322,0,0,0,0,925,0,0,0,0,0,0,0,0,0,11,1,0,0,14,169,0.0,24,14.4,6.36,0.2,0.12,0.0,0.03,1.25,0.03,0.93,0.0,0.0,0.03,0.0,0.0,0.03,16.57,3.51,14.69,9.35,0.0,0.0,0.0,0.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.03,0.0,0.0,0.41,4.91,0.0,75.96
גני תקווה,15611,11774,44,11730,983,648,198,13,0,2,361,2,130,0,0,0,0,0,0,1414,341,2280,668,0,1,0,0,3172,2,1,0,1,1,0,1,1,2,35,1,2,0,799,671,0.0,24,8.38,5.52,1.69,0.11,0.0,0.02,3.08,0.02,1.11,0.0,0.0,0.0,0.0,0.0,0.0,12.05,2.91,19.44,5.69,0.0,0.01,0.0,0.0,27.04,0.02,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.02,0.3,0.01,0.02,0.0,6.81,5.72,0.0,75.42
דאלית אל-כרמל,12939,5183,47,5136,326,116,1,389,0,1,14,0,39,1,4,1,0,1,1,357,1327,465,511,1,0,0,26,1305,1,1,1,0,0,0,2,0,0,11,1,0,0,106,127,0.0,24,6.35,2.26,0.02,7.57,0.0,0.02,0.27,0.0,0.76,0.02,0.08,0.02,0.0,0.02,0.02,6.95,25.84,9.05,9.95,0.02,0.0,0.0,0.51,25.41,0.02,0.02,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.21,0.02,0.0,0.0,2.06,2.47,0.0,40.06
דבוריה,7270,3478,26,3452,3,0,0,1901,0,0,0,0,1,3,1,0,0,0,1,1,2,60,54,0,0,0,1409,10,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0.0,24,0.09,0.0,0.0,55.07,0.0,0.0,0.0,0.0,0.03,0.09,0.03,0.0,0.0,0.0,0.03,0.03,0.06,1.74,1.56,0.0,0.0,0.0,40.82,0.29,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.0,47.84
דיר אל-אסד,8479,5204,37,5167,14,1,1,2574,0,0,0,0,6,1,0,1,0,0,3,6,2,82,44,0,0,0,2093,33,0,0,0,1,0,0,1,2,4,0,0,0,0,286,12,0.0,24,0.27,0.02,0.02,49.82,0.0,0.0,0.0,0.0,0.12,0.02,0.0,0.02,0.0,0.0,0.06,0.12,0.04,1.59,0.85,0.0,0.0,0.0,40.51,0.64,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.04,0.08,0.0,0.0,0.0,0.0,5.54,0.23,0.0,61.38
דיר חנא,7503,5071,29,5042,5,2,1,2989,0,0,2,0,1,3,0,0,0,1,1,3,1,111,109,0,0,0,1648,43,0,0,1,0,0,0,0,0,0,2,0,1,0,97,21,0.0,24,0.1,0.04,0.02,59.28,0.0,0.0,0.04,0.0,0.02,0.06,0.0,0.0,0.0,0.02,0.02,0.06,0.02,2.2,2.16,0.0,0.0,0.0,32.69,0.85,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.0,1.92,0.42,0.0,67.59
דימונה,28585,16107,128,15979,249,826,103,10,2,1,861,1,81,0,0,0,2,2,1,418,1074,8766,78,1,2,0,27,995,3,1,0,1,2,3,2,2,3,66,4,3,0,1708,681,0.0,24,1.56,5.17,0.64,0.06,0.01,0.01,5.39,0.01,0.51,0.0,0.0,0.0,0.01,0.01,0.01,2.62,6.72,54.86,0.49,0.01,0.01,0.0,0.17,6.23,0.02,0.01,0.0,0.01,0.01,0.02,0.01,0.01,0.02,0.41,0.03,0.02,0.0,10.69,4.26,0.0,56.35
דרום השרון,23021,17834,35,17799,2612,916,21,10,3,51,233,5,204,1,1,0,1,2,4,2653,503,2656,1774,2,0,0,6,4931,0,2,0,0,1,2,2,0,2,61,10,0,0,186,944,0.0,24,14.67,5.15,0.12,0.06,0.02,0.29,1.31,0.03,1.15,0.01,0.01,0.0,0.01,0.01,0.02,14.91,2.83,14.92,9.97,0.01,0.0,0.0,0.03,27.7,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.34,0.06,0.0,0.0,1.05,5.3,0.0,77.47
הגלבוע,21992,13088,79,13009,1692,502,47,1275,2,2,239,0,120,0,0,1,1,1,1,1364,292,2674,894,0,2,0,1036,2008,4,4,2,0,1,1,1,1,1,60,5,0,0,290,486,0.0,24,13.01,3.86,0.36,9.8,0.02,0.02,1.84,0.0,0.92,0.0,0.0,0.01,0.01,0.01,0.01,10.49,2.24,20.56,6.87,0.0,0.02,0.0,7.96,15.44,0.03,0.03,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.46,0.04,0.0,0.0,2.23,3.74,0.0,59.51
הגליל העליון,14639,10149,22,10127,2641,265,9,24,1,1,72,3,116,1,0,0,0,0,3,1377,344,715,1767,0,1,1,2,2244,2,1,0,0,0,1,0,1,0,83,3,0,0,30,419,0.0,24,26.08,2.62,0.09,0.24,0.01,0.01,0.71,0.03,1.15,0.01,0.0,0.0,0.0,0.0,0.03,13.6,3.4,7.06,17.45,0.0,0.01,0.01,0.02,22.16,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.82,0.03,0.0,0.0,0.3,4.14,0.0,69.33
הגליל התחתון,8524,6238,15,6223,571,1070,26,5,0,1,583,2,76,0,5,0,0,1,1,644,130,1389,261,1,1,0,2,828,2,1,0,0,0,0,0,0,0,45,3,0,0,134,441,0.0,24,9.18,17.19,0.42,0.08,0.0,0.02,9.37,0.03,1.22,0.0,0.08,0.0,0.0,0.02,0.02,10.35,2.09,22.32,4.19,0.02,0.02,0.0,0.03,13.31,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.05,0.0,0.0,2.15,7.09,0.0,73.18
הוד השרון,47577,35412,71,35341,3970,1572,100,38,3,4,574,3,334,0,0,2,2,2,5,4537,1184,6389,2869,1,1,0,1,10746,3,1,1,0,1,1,1,3,2,134,6,0,0,683,2168,0.0,24,11.23,4.45,0.28,0.11,0.01,0.01,1.62,0.01,0.95,0.0,0.0,0.01,0.01,0.01,0.01,12.84,3.35,18.08,8.12,0.0,0.0,0.0,0.0,30.41,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.38,0.02,0.0,0.0,1.93,6.13,0.0,74.43
הערבה התיכונה,2714,1813,6,1807,355,77,3,5,0,0,35,0,16,0,0,0,0,0,0,462,50,124,176,0,0,0,1,382,0,0,0,0,1,0,0,0,0,26,1,1,0,2,90,0.0,24,19.65,4.26,0.17,0.28,0.0,0.0,1.94,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,25.57,2.77,6.86,9.74,0.0,0.0,0.0,0.06,21.14,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.44,0.06,0.06,0.0,0.11,4.98,0.0,66.8
הרצליה,84414,55141,170,54971,5127,2680,449,92,5,3,959,8,511,1,1,1,2,2,11,6908,2413,11580,4557,2,3,0,9,14701,12,7,2,1,1,4,1,5,7,215,17,1,0,1677,2996,0.0,24,9.33,4.88,0.82,0.17,0.01,0.01,1.74,0.01,0.93,0.0,0.0,0.0,0.0,0.0,0.02,12.57,4.39,21.07,8.29,0.0,0.01,0.0,0.02,26.74,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.39,0.03,0.0,0.0,3.05,5.45,0.0,65.32
זבולון,9507,5880,16,5864,990,248,28,272,0,2,80,0,29,1,0,2,2,0,3,655,173,567,521,0,0,1,574,1434,1,0,0,0,0,0,0,1,1,14,2,0,0,29,234,0.0,24,16.88,4.23,0.48,4.64,0.0,0.03,1.36,0.0,0.49,0.02,0.0,0.03,0.03,0.0,0.05,11.17,2.95,9.67,8.88,0.0,0.0,0.02,9.79,24.45,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.24,0.03,0.0,0.0,0.49,3.99,0.0,61.85
זכרון יעקב,17294,12427,31,12396,1292,825,606,20,1,0,310,0,87,0,0,0,0,0,3,1305,346,1882,1059,2,2,0,1,3071,3,0,0,0,0,1,0,1,0,57,2,1,0,724,795,0.0,24,10.42,6.66,4.89,0.16,0.01,0.0,2.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.02,10.53,2.79,15.18,8.54,0.02,0.02,0.0,0.01,24.77,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.46,0.02,0.01,0.0,5.84,6.41,0.0,71.86
זמר,4864,1915,30,1885,9,0,0,981,0,0,0,0,3,0,1,0,0,1,1,2,1,43,95,0,0,0,726,17,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0.0,24,0.48,0.0,0.0,52.04,0.0,0.0,0.0,0.0,0.16,0.0,0.05,0.0,0.0,0.05,0.05,0.11,0.05,2.28,5.04,0.0,0.0,0.0,38.51,0.9,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.11,0.0,0.0,39.37
זרזיר,5547,1907,16,1891,28,0,0,178,0,0,1,1,6,0,1,0,0,0,4,14,2,274,75,1,0,0,968,29,0,0,0,1,1,0,2,0,3,3,0,1,0,5,293,0.0,24,1.48,0.0,0.0,9.41,0.0,0.0,0.05,0.05,0.32,0.0,0.05,0.0,0.0,0.0,0.21,0.74,0.11,14.49,3.97,0.05,0.0,0.0,51.19,1.53,0.0,0.0,0.0,0.05,0.05,0.0,0.11,0.0,0.16,0.16,0.0,0.05,0.0,0.26,15.49,0.0,34.38
חבל אילות,3608,2206,6,2200,616,65,1,9,1,1,15,0,23,0,0,0,0,1,0,198,89,240,332,0,0,0,0,485,1,0,0,0,0,0,0,0,0,12,1,1,0,13,96,0.0,24,28.0,2.95,0.05,0.41,0.05,0.05,0.68,0.0,1.05,0.0,0.0,0.0,0.0,0.05,0.0,9.0,4.05,10.91,15.09,0.0,0.0,0.0,0.0,22.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.05,0.05,0.0,0.59,4.36,0.0,61.14
חבל יבנה,3612,2861,5,2856,88,876,34,0,0,0,653,1,5,0,0,0,0,0,0,91,8,669,10,1,0,0,0,107,0,0,0,0,0,0,0,0,0,6,1,0,0,199,107,0.0,24,3.08,30.67,1.19,0.0,0.0,0.0,22.86,0.04,0.18,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.28,23.42,0.35,0.04,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.04,0.0,0.0,6.97,3.75,0.0,79.21
חבל מודיעין,15270,11698,33,11665,944,1359,72,16,1,15,1165,2,112,0,0,0,1,4,3,1069,184,3079,587,1,0,0,0,1889,2,0,0,0,0,2,0,0,0,53,1,0,0,533,571,0.0,24,8.09,11.65,0.62,0.14,0.01,0.13,9.99,0.02,0.96,0.0,0.0,0.0,0.01,0.03,0.03,9.16,1.58,26.4,5.03,0.01,0.0,0.0,0.0,16.19,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.45,0.01,0.0,0.0,4.57,4.89,0.0,76.61
חדרה,77744,45929,264,45665,2138,2632,432,66,4,3,1561,16,494,0,0,4,1,9,15,3219,3840,16957,1048,6,23,2,24,6624,7,2,3,5,6,7,5,2,5,244,12,9,0,3474,2766,0.0,24,4.68,5.76,0.95,0.14,0.01,0.01,3.42,0.04,1.08,0.0,0.0,0.01,0.0,0.02,0.03,7.05,8.41,37.13,2.29,0.01,0.05,0.0,0.05,14.51,0.02,0.0,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.53,0.03,0.02,0.0,7.61,6.06,0.0,59.08
חולון,159282,97226,523,96703,4585,5817,679,66,11,13,2798,25,1061,1,3,2,1,9,39,7333,6017,33538,2365,6,3,2,12,16497,27,19,3,1,7,13,7,8,15,409,35,13,0,8751,6512,0.0,24,4.74,6.02,0.7,0.07,0.01,0.01,2.89,0.03,1.1,0.0,0.0,0.0,0.0,0.01,0.04,7.58,6.22,34.68,2.45,0.01,0.0,0.0,0.01,17.06,0.03,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.42,0.04,0.01,0.0,9.05,6.73,0.0,61.04
חוף אשקלון,12751,9406,21,9385,661,917,41,7,3,7,1077,1,77,0,0,0,0,0,2,865,147,2692,567,0,0,1,4,1266,2,2,0,0,0,0,0,1,1,35,4,0,0,558,447,0.0,24,7.04,9.77,0.44,0.07,0.03,0.07,11.48,0.01,0.82,0.0,0.0,0.0,0.0,0.0,0.02,9.22,1.57,28.68,6.04,0.0,0.0,0.01,0.04,13.49,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.37,0.04,0.0,0.0,5.95,4.76,0.0,73.77
חוף הכרמל,24079,16900,47,16853,2308,912,64,110,0,2,384,2,206,1,0,1,1,0,3,2257,535,3185,1582,2,0,0,20,3922,3,0,0,0,0,2,1,0,0,116,7,1,0,283,943,0.0,24,13.69,5.41,0.38,0.65,0.0,0.01,2.28,0.01,1.22,0.01,0.0,0.01,0.01,0.0,0.02,13.39,3.17,18.9,9.39,0.01,0.0,0.0,0.12,23.27,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.69,0.04,0.01,0.0,1.68,5.6,0.0,70.19
חוף השרון,8801,6442,10,6432,1176,175,5,14,0,14,42,0,47,0,0,0,0,0,0,987,189,582,1100,1,0,0,1,1805,1,1,0,0,1,0,0,0,1,31,0,0,0,39,220,0.0,24,18.28,2.72,0.08,0.22,0.0,0.22,0.65,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,15.35,2.94,9.05,17.1,0.02,0.0,0.0,0.02,28.06,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.48,0.0,0.0,0.0,0.61,3.42,0.0,73.2
חורה,8597,3511,65,3446,9,1,0,847,0,0,0,1,4,2,0,2,2,1,2,6,5,214,43,0,2,1,2264,11,0,1,3,0,1,2,3,3,4,0,3,3,0,3,3,0.0,24,0.26,0.03,0.0,24.58,0.0,0.0,0.0,0.03,0.12,0.06,0.0,0.06,0.06,0.03,0.06,0.17,0.15,6.21,1.25,0.0,0.06,0.03,65.7,0.32,0.0,0.03,0.09,0.0,0.03,0.06,0.09,0.09,0.12,0.0,0.09,0.09,0.0,0.09,0.09,0.0,40.84
חורפיש,4690,2130,13,2117,85,129,0,127,0,1,0,0,3,0,0,1,0,0,4,577,457,136,146,1,0,0,1,146,0,1,0,0,0,0,1,1,0,0,0,0,0,166,134,0.0,24,4.02,6.09,0.0,6.0,0.0,0.05,0.0,0.0,0.14,0.0,0.0,0.05,0.0,0.0,0.19,27.26,21.59,6.42,6.9,0.05,0.0,0.0,0.05,6.9,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,7.84,6.33,0.0,45.42
חיפה,249870,137706,740,136966,9352,6532,5042,9783,25,13,3607,40,1306,22,8,25,10,18,61,11146,12799,29269,8620,13,21,8,492,26800,41,17,8,8,31,14,12,20,24,678,37,17,0,3585,7462,0.0,24,6.83,4.77,3.68,7.14,0.02,0.01,2.63,0.03,0.95,0.02,0.01,0.02,0.01,0.01,0.04,8.14,9.34,21.37,6.29,0.01,0.02,0.01,0.36,19.57,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.5,0.03,0.01,0.0,2.62,5.45,0.0,55.11
חצור הגלילית,7286,4854,24,4830,62,214,754,0,0,0,306,0,21,0,0,0,0,0,0,122,183,2219,15,0,0,0,1,104,0,1,0,0,0,0,0,0,0,17,2,0,0,673,136,0.0,24,1.28,4.43,15.61,0.0,0.0,0.0,6.34,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,2.53,3.79,45.94,0.31,0.0,0.0,0.0,0.02,2.15,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.04,0.0,0.0,13.93,2.82,0.0,66.62
חריש,10902,7402,44,7358,331,918,184,20,0,1,932,2,100,1,2,0,0,0,0,304,493,1560,185,0,1,0,3,833,1,1,0,1,0,1,0,0,2,70,0,1,0,1032,379,0.0,24,4.5,12.48,2.5,0.27,0.0,0.01,12.67,0.03,1.36,0.01,0.03,0.0,0.0,0.0,0.0,4.13,6.7,21.2,2.51,0.0,0.01,0.0,0.04,11.32,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.03,0.95,0.0,0.01,0.0,14.03,5.15,0.0,67.9
טבריה,35479,19755,101,19654,223,759,1538,15,1,2,998,5,97,1,1,4,1,3,5,638,1162,8521,112,2,1,1,11,1109,4,1,1,0,1,0,0,0,3,90,3,2,0,3641,698,0.0,24,1.13,3.86,7.83,0.08,0.01,0.01,5.08,0.03,0.49,0.01,0.01,0.02,0.01,0.02,0.03,3.25,5.91,43.36,0.57,0.01,0.01,0.01,0.06,5.64,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.02,0.46,0.02,0.01,0.0,18.53,3.55,0.0,55.68
טובא-זנגריה,4617,1522,17,1505,18,3,0,277,0,0,1,0,3,1,0,1,0,0,1,10,6,286,82,0,0,0,706,82,0,0,1,1,0,0,0,1,2,0,0,1,0,6,16,0.0,24,1.2,0.2,0.0,18.41,0.0,0.0,0.07,0.0,0.2,0.07,0.0,0.07,0.0,0.0,0.07,0.66,0.4,19.0,5.45,0.0,0.0,0.0,46.91,5.45,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.07,0.13,0.0,0.0,0.07,0.0,0.4,1.06,0.0,32.97
טורעאן,9719,3756,26,3730,29,2,0,1876,0,0,3,1,16,2,1,0,0,0,0,2,8,87,89,0,0,2,1542,23,0,0,2,1,0,0,1,0,1,1,0,0,0,21,20,0.0,24,0.78,0.05,0.0,50.29,0.0,0.0,0.08,0.03,0.43,0.05,0.03,0.0,0.0,0.0,0.0,0.05,0.21,2.33,2.39,0.0,0.0,0.05,41.34,0.62,0.0,0.0,0.05,0.03,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.56,0.54,0.0,38.65
טייבה,29204,12675,158,12517,57,3,0,8310,1,0,2,1,17,8,0,0,1,1,2,17,0,96,519,2,0,1,3246,132,1,2,2,4,2,2,0,1,1,3,2,2,0,74,5,0.0,24,0.46,0.02,0.0,66.39,0.01,0.0,0.02,0.01,0.14,0.06,0.0,0.0,0.01,0.01,0.02,0.14,0.0,0.77,4.15,0.02,0.0,0.01,25.93,1.05,0.01,0.02,0.02,0.03,0.02,0.02,0.0,0.01,0.01,0.02,0.02,0.02,0.0,0.59,0.04,0.0,43.4
טירה,18697,8806,116,8690,60,3,1,4175,1,3,2,1,12,4,1,0,0,0,2,15,2,85,367,0,0,0,3528,364,3,0,1,0,0,0,1,2,3,0,0,0,0,4,50,0.0,24,0.69,0.03,0.01,48.04,0.01,0.03,0.02,0.01,0.14,0.05,0.01,0.0,0.0,0.0,0.02,0.17,0.02,0.98,4.22,0.0,0.0,0.0,40.6,4.19,0.03,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.03,0.0,0.0,0.0,0.0,0.05,0.58,0.0,47.1
טירת כרמל,19634,12336,72,12264,244,759,38,7,1,0,431,4,114,0,1,1,1,2,9,636,676,6112,142,1,3,0,4,1038,3,1,0,1,0,3,2,4,3,55,5,5,0,1231,727,0.0,24,1.99,6.19,0.31,0.06,0.01,0.0,3.51,0.03,0.93,0.0,0.01,0.01,0.01,0.02,0.07,5.19,5.51,49.84,1.16,0.01,0.02,0.0,0.03,8.46,0.02,0.01,0.0,0.01,0.0,0.02,0.02,0.03,0.02,0.45,0.04,0.04,0.0,10.04,5.93,0.0,62.83
טמרה,23560,12339,74,12265,20,2,1,5853,1,0,3,1,32,7,1,1,0,1,0,48,4,77,157,0,0,0,5952,66,0,1,0,1,2,1,0,2,1,2,0,1,0,21,6,0.0,24,0.16,0.02,0.01,47.72,0.01,0.0,0.02,0.01,0.26,0.06,0.01,0.01,0.0,0.01,0.0,0.39,0.03,0.63,1.28,0.0,0.0,0.0,48.53,0.54,0.0,0.01,0.0,0.01,0.02,0.01,0.0,0.02,0.01,0.02,0.0,0.01,0.0,0.17,0.05,0.0,52.37
יאנוח - ג'ת,4706,2146,15,2131,78,5,1,52,0,0,0,0,11,1,1,0,0,1,1,146,622,501,40,0,0,0,6,317,0,0,0,0,1,0,0,0,0,1,0,0,0,195,151,0.0,24,3.66,0.23,0.05,2.44,0.0,0.0,0.0,0.0,0.52,0.05,0.05,0.0,0.0,0.05,0.05,6.85,29.19,23.51,1.88,0.0,0.0,0.0,0.28,14.88,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,9.15,7.09,0.0,45.6
יבנאל,2573,1694,11,1683,62,64,44,2,0,1,127,0,10,0,0,0,0,0,0,67,23,319,21,0,0,0,0,131,0,0,0,0,1,0,0,0,0,23,0,0,0,738,50,0.0,24,3.68,3.8,2.61,0.12,0.0,0.06,7.55,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,3.98,1.37,18.95,1.25,0.0,0.0,0.0,0.0,7.78,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,43.85,2.97,0.0,65.84
יבנה,34792,24695,123,24572,971,1744,143,7,2,0,1065,1,236,0,1,0,0,1,10,2021,863,9165,501,1,4,0,5,3833,5,4,0,1,3,1,2,1,5,75,10,4,0,2472,1415,0.0,24,3.95,7.1,0.58,0.03,0.01,0.0,4.33,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.04,8.22,3.51,37.3,2.04,0.0,0.02,0.0,0.02,15.6,0.02,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.31,0.04,0.02,0.0,10.06,5.76,0.0,70.98
יהוד -מונסון,23405,16789,59,16730,1060,1055,81,6,3,2,483,6,208,0,0,0,1,0,0,1964,470,5340,748,1,0,0,1,3605,1,0,0,1,2,0,1,1,5,46,7,0,0,606,1026,0.0,24,6.34,6.31,0.48,0.04,0.02,0.01,2.89,0.04,1.24,0.0,0.0,0.0,0.01,0.0,0.0,11.74,2.81,31.92,4.47,0.01,0.0,0.0,0.01,21.55,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.03,0.27,0.04,0.0,0.0,3.62,6.13,0.0,71.73
